path_id,x,y,z,r,g,b
1,3.136,0.163,0.000,1,0,0
1,3.137,0.161,0.000,1,0,0
2,3.140,0.159,0.000,1,0,0
2,3.138,0.162,0.000,1,0,0
2,3.139,0.160,0.000,1,0,0
2,3.132,0.157,0.000,1,0,0
3,3.134,0.160,0.000,1,0,0
3,3.135,0.157,0.000,1,0,0
3,3.138,0.159,0.000,1,0,0
3,3.137,0.159,0.000,1,0,0
3,3.135,0.158,0.000,1,0,0
4,3.139,0.155,0.000,1,0,0
4,3.162,0.166,0.000,1,0,0
4,3.222,0.173,0.000,1,0,0
4,3.291,0.194,0.000,1,0,0
4,3.136,0.257,0.000,1,0,0
4,3.136,0.255,0.000,1,0,0
4,3.153,0.263,0.000,1,0,0
4,3.185,0.271,0.000,1,0,0
4,3.207,0.272,0.000,1,0,0
5,3.321,0.224,0.000,1,0,0
5,3.512,0.315,0.000,1,0,0
5,3.599,0.369,0.000,1,0,0
5,3.619,0.392,0.000,1,0,0
5,3.747,0.471,0.000,1,0,0
5,3.769,0.483,0.000,1,0,0
5,3.892,0.565,0.000,1,0,0
5,3.950,0.591,0.000,1,0,0
5,3.873,0.562,0.000,1,0,0
6,3.878,0.563,0.000,1,0,0
6,3.878,0.562,0.000,1,0,0
6,3.885,0.565,0.000,1,0,0
6,3.878,0.566,0.000,1,0,0
6,3.876,0.565,0.000,1,0,0
6,3.872,0.563,0.000,1,0,0
6,3.874,0.564,0.000,1,0,0
6,3.873,0.563,0.000,1,0,0
6,3.916,0.591,0.000,1,0,0
7,4.023,0.662,0.000,1,0,0
7,4.063,0.692,0.000,1,0,0
7,4.243,0.795,0.000,1,0,0
7,4.373,0.874,0.000,1,0,0
7,4.491,0.992,0.000,1,0,0
7,4.592,1.098,0.000,1,0,0
7,4.560,1.067,0.000,1,0,0
7,4.612,1.135,0.000,1,0,0
7,4.629,1.154,0.000,1,0,0
8,4.737,1.261,0.000,1,0,0
8,4.719,1.237,0.000,1,0,0
8,4.698,1.213,0.000,1,0,0
8,4.696,1.212,0.000,1,0,0
8,4.691,1.214,0.000,1,0,0
8,4.690,1.214,0.000,1,0,0
8,4.693,1.216,0.000,1,0,0
9,-0.014,0.009,0.000,1,0,0
9,-0.012,0.008,0.000,1,0,0
9,3.383,0.116,0.000,1,0,0
9,3.385,0.118,0.000,1,0,0
9,3.386,0.115,0.000,1,0,0
9,3.389,0.115,0.000,1,0,0
9,3.333,0.112,0.000,1,0,0
9,3.336,0.110,0.000,1,0,0
9,3.332,0.113,0.000,1,0,0
10,3.335,0.109,0.000,1,0,0
10,3.323,0.105,0.000,1,0,0
10,3.322,0.108,0.000,1,0,0
10,3.326,0.107,0.000,1,0,0
10,3.323,0.111,0.000,1,0,0
10,3.333,0.107,0.000,1,0,0
10,3.325,0.107,0.000,1,0,0
10,3.324,0.107,0.000,1,0,0
10,3.327,0.109,0.000,1,0,0
11,3.333,0.108,0.000,1,0,0
11,3.400,0.121,0.000,1,0,0
11,3.586,0.173,0.000,1,0,0
11,3.745,0.222,0.000,1,0,0
11,3.919,0.358,0.000,1,0,0
11,4.110,0.497,0.000,1,0,0
11,4.259,0.650,0.000,1,0,0
11,4.424,0.786,0.000,1,0,0
11,4.589,0.922,0.000,1,0,0
12,4.731,1.086,0.000,1,0,0
12,4.840,1.288,0.000,1,0,0
12,4.938,1.504,0.000,1,0,0
12,5.035,1.719,0.000,1,0,0
12,5.123,1.938,0.000,1,0,0
12,5.214,2.147,0.000,1,0,0
12,5.338,2.390,0.000,1,0,0
12,5.419,2.608,0.000,1,0,0
13,5.555,2.748,0.000,1,0,0
13,5.770,2.803,0.000,1,0,0
13,5.974,2.776,0.000,1,0,0
13,6.159,2.686,0.000,1,0,0
13,6.346,2.670,0.000,1,0,0
13,6.388,2.684,0.000,1,0,0
13,6.391,2.684,0.000,1,0,0
13,6.386,2.682,0.000,1,0,0
13,6.373,2.654,0.000,1,0,0
14,6.431,2.668,0.000,1,0,0
14,6.612,2.702,0.000,1,0,0
14,6.818,2.753,0.000,1,0,0
14,6.981,2.797,0.000,1,0,0
14,7.060,2.832,0.000,1,0,0
14,6.604,2.767,0.000,1,0,0
14,5.189,2.141,0.000,1,0,0
14,5.241,2.300,0.000,1,0,0
15,3.506,0.307,0.000,1,0,0
15,3.465,0.447,0.000,1,0,0
15,3.255,0.332,0.000,1,0,0
16,3.255,0.332,0.000,1,0,0
16,3.272,0.336,0.000,1,0,0
16,3.413,0.368,0.000,1,0,0
16,3.588,0.393,0.000,1,0,0
16,3.760,0.399,0.000,1,0,0
16,3.919,0.492,0.000,1,0,0
16,4.055,0.566,0.000,1,0,0
17,4.171,0.710,0.000,1,0,0
17,4.243,0.861,0.000,1,0,0
17,4.315,1.053,0.000,1,0,0
17,4.375,1.220,0.000,1,0,0
17,4.444,1.390,0.000,1,0,0
17,4.489,1.566,0.000,1,0,0
17,4.519,1.751,0.000,1,0,0
17,4.515,1.945,0.000,1,0,0
18,4.515,2.143,0.000,1,1,0
18,4.474,2.312,0.000,1,1,0
18,4.399,2.502,0.000,1,1,0
18,4.311,2.680,0.000,1,1,0
18,4.183,2.812,0.000,1,1,0
18,4.016,2.908,0.000,1,1,0
18,3.783,2.930,0.000,1,1,0
18,3.601,2.980,0.000,1,1,0
19,3.438,3.050,0.000,1,1,0
19,3.261,3.115,0.000,1,1,0
19,3.077,3.088,0.000,1,1,0
19,2.877,3.025,0.000,1,1,0
19,2.809,3.006,0.000,1,1,0
20,2.809,3.006,0.000,1,1,0
20,2.778,2.991,0.000,1,1,0
20,2.626,2.916,0.000,1,1,0
20,2.472,2.825,0.000,1,1,0
20,2.350,2.693,0.000,1,1,0
20,2.234,2.567,0.000,1,1,0
20,2.133,2.420,0.000,1,1,0
20,2.041,2.255,0.000,1,1,0
21,1.982,2.097,0.000,1,1,0
21,1.943,1.978,0.000,1,1,0
21,1.949,1.920,0.000,1,1,0
21,1.947,1.863,0.000,1,1,0
21,1.944,1.794,0.000,1,1,0
21,1.937,1.638,0.000,1,1,0
21,1.945,1.504,0.000,1,1,0
21,1.941,1.320,0.000,1,1,0
22,1.935,1.173,0.000,1,1,0
22,1.920,1.015,0.000,1,1,0
22,1.917,0.830,0.000,1,1,0
22,1.864,0.676,0.000,1,1,0
22,1.748,0.482,0.000,1,1,0
22,1.603,0.335,0.000,1,1,0
22,1.439,0.240,0.000,1,1,0
22,1.397,0.245,0.000,1,1,0
23,1.397,0.245,0.000,1,1,0
23,1.341,0.212,0.000,1,1,0
23,1.185,0.122,0.000,1,1,0
23,1.023,0.052,0.000,1,1,0
23,0.857,-0.028,0.000,1,1,0
23,0.698,-0.114,0.000,1,1,0
24,0.529,-0.177,0.000,1,1,0
24,0.343,-0.214,0.000,1,1,0
24,0.140,-0.257,0.000,1,1,0
24,-0.081,-0.264,0.000,1,1,0
24,-0.287,-0.268,0.000,1,1,0
24,-0.492,-0.281,0.000,1,1,0
24,-0.693,-0.294,0.000,1,1,0
24,-0.920,-0.315,0.000,1,1,0
24,-1.162,-0.319,0.000,1,1,0
25,-1.390,-0.309,0.000,1,1,0
25,-1.646,-0.282,0.000,1,1,0
25,-1.887,-0.224,0.000,1,1,0
25,-2.117,-0.163,0.000,1,1,0
25,-2.346,-0.099,0.000,1,1,0
25,-2.596,-0.031,0.000,1,1,0
25,-2.848,0.169,0.000,1,1,0
25,-3.062,0.383,0.000,1,1,0
25,-3.182,0.530,0.000,1,1,0
26,-3.330,0.816,0.000,1,1,0
26,-3.412,1.071,0.000,1,1,0
26,-3.503,1.318,0.000,1,1,0
26,-3.564,1.568,0.000,1,1,0
26,-3.612,1.820,0.000,1,1,0
26,-3.650,2.063,0.000,1,1,0
26,-3.686,2.307,0.000,1,1,0
26,-3.713,2.567,0.000,1,1,0
27,-3.754,2.832,0.000,1,1,0
27,-3.758,3.048,0.000,1,1,0
27,-3.803,3.303,0.000,1,1,0
27,-3.896,3.526,0.000,1,1,0
27,-4.063,3.735,0.000,1,1,0
27,-4.183,3.930,0.000,1,1,0
27,-4.214,4.189,0.000,1,1,0
27,-4.277,4.454,0.000,1,1,0
28,-4.306,4.697,0.000,1,1,0
28,-4.329,5.007,0.000,1,1,0
28,-4.379,5.352,0.000,1,1,0
28,-4.425,5.674,0.000,1,1,0
28,-4.470,6.015,0.000,1,1,0
28,-4.521,6.333,0.000,1,1,0
28,-4.559,6.665,0.000,1,1,0
28,-4.599,6.935,0.000,1,1,0
29,-4.625,7.250,0.000,1,1,0
29,-4.661,7.490,0.000,1,1,0
29,-4.672,7.522,0.000,1,1,0
29,-4.654,7.579,0.000,1,1,0
29,-4.646,7.606,0.000,1,1,0
29,-4.586,7.668,0.000,1,1,0
29,-4.496,7.746,0.000,1,1,0
29,-4.349,7.860,0.000,1,1,0
29,-4.244,7.953,0.000,1,1,0
30,-4.068,8.088,0.000,1,1,0
30,-3.891,8.133,0.000,1,1,0
30,-3.672,8.119,0.000,1,1,0
30,-3.470,8.057,0.000,1,1,0
30,-3.330,7.944,0.000,1,1,0
30,-3.209,7.782,0.000,1,1,0
30,-3.169,7.624,0.000,1,1,0
30,-3.117,7.453,0.000,1,1,0
31,-3.078,7.284,0.000,1,1,0
31,-3.018,7.109,0.000,1,1,0
31,-2.966,6.931,0.000,1,1,0
31,-2.902,6.742,0.000,1,1,0
31,-2.863,6.503,0.000,1,1,0
31,-2.804,6.248,0.000,1,1,0
